certificate_no,company,company_link,country,product_designation,certificate_type,software_version,protocol_version,date_of_registration,certificate_url,product_type
OCA.0016.1268.CSMS,A-Pro Co. LTD.,,Republic of Korea,APRO CSMS,Core + S + C,1.0.0,OCPP 1.6,2026-07-23,https://openchargealliance.org/wp-content/uploads/2026/07/Certificate_OCA.0016.1268.CSMS_A-Pro.pdf,Charging Station Management System
OCA.0016.0528.CSMS,"AHA Co., Ltd",https://openchargealliance.org/participants/aha-co-ltd/,Republic of Korea,AHAEVC CSMS 1.6,Full,v1.0.0,OCPP 1.6,2023-10-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0528.CSMS_AHA.pdf,Charging Station Management System
OCA.0016.1050.CSMS,AI-RIDER CORPORATION,https://openchargealliance.org/participants/ai-rider-corp/,Taiwan,AI-RIDER CSMS,Full + Security,1.0.0,OCPP 1.6,2025-05-07,https://openchargealliance.org/wp-content/uploads/2025/05/Certificate_OCA.0016.1050_CSMS_AI_RIDER.pdf,Charging Station Management System
OCA.0016.1137.CSMS - update-2025-12-12,Alon Inc.,,Republic of Korea,Alon CSMS Solution,Core + S + C,,OCPP 1.6,2025-10-23,https://openchargealliance.org/wp-content/uploads/2025/12/Certificate_OCA.0016.1137.CSMS_Alon.pdf,Charging Station Management System
OCA.0016.1242.CSMS,Ampaway,https://openchargealliance.org/participants/ampaway/,USA,Ampaway Management Platform,Core + S + C,1.0.0,OCPP 1.6,2026-05-19,https://openchargealliance.org/wp-content/uploads/2026/06/Certificate_OCA.0016.1242.CSMS_Ampaway.pdf,Charging Station Management System
OCA.0016.0509.CSMS,Ampeco LTD,https://openchargealliance.org/participants/ampeco-ltd/,Bulgaria,AMPECO EV Charging Management Platform,Full,v.2.103.2,OCPP 1.6,2023-10-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0509.CSMS_AMPECO.pdf,Charging Station Management System
OCA.0016.0510.CSMS,Ampeco LTD,https://openchargealliance.org/participants/ampeco-ltd/,Bulgaria,AMPECO EV Charging Management Platform,Security,v.2.103.2,OCPP 1.6,2023-10-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0510_Ampeco.pdf,Charging Station Management System
OCA.0016.0839.CSMS,AmpUp,https://openchargealliance.org/participants/ampup/,USA,AmpUp Community Manager,Full + Security,v1.0.0,OCPP 1.6,2024-12-04,https://openchargealliance.org/wp-content/uploads/2024/12/Certificate_OCA.0016.0839.CSMS_AmpUp.pdf,Charging Station Management System
OCA.0201.0161.CSMS,AmpUp Inc.,https://openchargealliance.org/participants/ampup/,USA,Community Manager,Core + S + C,20260316,OCPP 2.0.1,2026-05-22,https://openchargealliance.org/wp-content/uploads/2026/06/Certificate_OCA.0201.0161.CSMS_AmpUp.pdf,Charging Station Management System
OCA.0016.0973.CSMS,"ANHUI YIJIANENG DIGITAL TECHNOLOGY CO., LTD.",,China,Eplvs,Full + Security,V3.0.0,OCPP 1.6,2025-02-11,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0973.CSMS_AYDT.pdf,Charging Station Management System
