slug,product,company,oca_company,oca_product,source_available,repo,website,api,api_docs,pricing,pricing_url,changelog,hq_country,hq_city,company_founded,first_release,latest_version,latest_version_date,ocpp_claimed,ocpi,iso15118,eichrecht,license,deployment,status,notes,sources
acharge,aCharge,ACEMO GmbH,,,,,https://www.acharge.de/,,,,,,Germany,Aachen,,,,,"1.6, 2.0.1",,,,,saas,active,,https://www.acharge.de/ocpp-backend/
ai-rider,,,AI-RIDER CORPORATION,,,,https://www.ai-rider.com,,,,,,Taiwan,Taipei,,,,,,,,,,,,The site presented a TLS certificate warning when checked.,https://www.ai-rider.com
ampaway,,,Ampaway,,,,https://www.ampaway.com,,,,,,USA,Burbank,,,,,,,,,,,,,https://www.ampaway.com
ampcontrol,Ampcontrol,"Ampcontrol Technologies, Inc.",,,,,https://www.ampcontrol.io/,,,,,,USA,New York,2018,,,,,,,,,saas,active,,https://www.ampcontrol.io/about-us https://www.cbinsights.com/company/ampcontrolio
ampeco,AMPECO EV Charging Management Platform,Ampeco LTD,Ampeco LTD,AMPECO EV Charging Management Platform,,,https://www.ampeco.com/,Y,https://developers.ampeco.com,,,https://developers.ampeco.com/changelog,,Sofia,2018,,,,,,,,,saas,,,https://tracxn.com/d/companies/ampeco/__slFYHs5RVK1D4QKIeJEv700fpROe1fGew7LWr81lXQE https://www.ampeco.com/ https://developers.ampeco.com/changelog
ampup,,,AmpUp,,,,https://www.ampup.io,,,,,,USA,Santa Clara,2018,,,,,,,,,,,,https://www.ampup.io
apostoldevel-ocpp-cs,ocpp-cs,apostoldevel,,,Y,apostoldevel/ocpp-cs,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/apostoldevel/ocpp-cs
apro,,,A-Pro Co. LTD.,,,,https://www.aproele.com,,,,,,,,,,,,,,,,,,,,https://www.aproele.com
autel,,,"Autel Digital Power Co., Ltd.",,,,https://www.autelenergy.com,,,,,,China,,,,,,,,,,,,,Trades as Autel Energy; the certified product name EVOTA does not appear on the site.,https://www.autelenergy.com
aviator,Aviator,hpxix,,,Y,hpxix/Aviator-Beta,,,,Free (self-hosted),,,,,,,,,2.0.1,,,,,self-hosted,active,,https://github.com/hpxix/Aviator-Beta
axso,AXSO Connect,AXSO,,,,,https://axso.io/,,,,,,Canada,Quebec City,2019,,,,"1.6, 2.0.1",,,,,saas,active,,https://axso.io/en/plateforme
balanz,Balanz,ocpp-balanz,,,Y,ocpp-balanz/balanz,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,CSMS or local controller with smart charging.,https://github.com/ocpp-balanz/balanz
be-energised,be.ENERGISED,ChargePoint,,,,,https://www.chargepoint.com/en-gb/products/software/be-energised,Y,,,,,Austria,Radstadt,2013,,,,,,,,,saas,active,"Built by has·to·be gmbh (founded 2013, Austria), acquired by ChargePoint in 2021. The product page advertises ""multiple APIs"", but the developer documentation is login-gated, so api_docs stays empty.",https://www.chargepoint.com/en-gb/products/software/be-energised https://siliconcanals.com/chargepoint-acquires-has-to-be-for-250m/
bloom-charge,Bloom Charge,Bloom Charge,,,,,https://www.bloom-charge.com/,,,,,,Denmark,Frederiksberg,,,,,,,,,,saas,active,"Carve-out of Clever, jointly owned by Clever and Andel. No OCPP version is stated anywhere on the site, and no Danish CVR entry was found for the brand, so founding year is unknown.",https://www.bloom-charge.com/about/ https://www.bloom-charge.com/solution/core-cpms-solution/
brite,,,Brite Energy Partners,,,,https://bep.co.kr,,,,,,,Seoul,,,,,,,,,,,,,https://bep.co.kr
chargecloud,chargecloud,chargecloud GmbH,,,,,https://www.chargecloud.com/,,,Published,https://www.chargecloud.com/de/preise,,Germany,Cologne,2016,,,,,,,,,saas,active,"OCA participant, but no CSMS product in the certified registry.",https://openchargealliance.org/participants/chargecloud-gmbh/ https://www.chargecloud.de/en-de/about-us/
chargeiq,chargeIQ,chargeIQ GmbH,,,,,https://chargeiq.de/en,,,,,,Germany,Leinfelden-Echterdingen,2020,,,,1.6,,,,,saas,active,"The site never states an OCPP version; 1.6 comes from the vendor’s own compatible-stations list. Registered in 2020, renamed chargeIQ GmbH in 2025.","https://chargeiq.de/en https://chargeiq.de/impressum https://www.northdata.com/chargeIQ%20GmbH,%20Leinfelden-Echterdingen/Amtsgericht%20Stuttgart%20HRB%20773555"
chargekeeper,Chargekeeper,Chargekeeper,,,,,https://www.charge-keeper.com/,,,,,,France,Gardanne,,,,,2.0.1,,,,,saas,active,,https://www.charge-keeper.com/en/features-logiciel
chargelab,ChargeLab,ChargeLab,,,,,https://chargelab.co/,,,On request,https://chargelab.co/pricing,,Canada,Toronto,,,,,,,,,,saas,active,"Founding year left blank: sources disagree (2016 per Forbes, 2019 per Tracxn/Dealroom).",https://chargelab.co/about https://techcrunch.com/2022/05/19/chargelabs-software-layer-to-power-abbs-ev-chargers-in-north-america https://chargelab.co/about
chargemap-business,Chargemap Business,Chargemap,,,,,https://chargemap-business.com/,,,,,,France,Strasbourg,2015,,,,,,,,,saas,active,Founding year is that of Chargemap SAS; the launch year of the Chargemap Business product could not be sourced.,https://annuaire-entreprises.data.gouv.fr/entreprise/809844731 https://www.chargemap-business.com/en/legal-notice
chargepanel,ChargePanel,ChargePanel AB (publ),,,,,https://www.chargepanel.com/,,,,,,Sweden,Stockholm,,,,,"1.5, 1.6",,,,,saas,active,,https://www.chargepanel.com/csms-platform/
chargeye,ChargEye,Kempower Oyj,,,,,https://kempower.com/solution/chargeye-ev-charging-management-software-solution/,,,,,,Finland,Lahti,2018,,,,,,,,,saas,active,Kempower withdrew its ChargEye developer page; no public API reference remains.,https://kempower.com/solution/chargeye-ev-charging-management-software-solution/ https://www.cbinsights.com/company/kempower
citrineos,CitrineOS,S44 Energy,S44 Energy,CitrineOS,Y,citrineos/citrineos-core,https://citrineos.github.io/,,,Free (self-hosted),,,USA,,,,,,"1.6, 2.0.1",,,,,both,active,Project documentation exists at citrineos.github.io but does not publish a REST/GraphQL API reference.,https://lfenergy.org/projects/citrineos/ https://www.s44.team/resources/citrineos-earns-ocpp-2-0-1-certification-advancing-open-source-ev-charging
cloudcharge,CloudCharge,DEFA AS,,,,,https://cloudcharge.tech/,,,,,,Sweden,Gothenburg,2013,,,,"1.5, 1.6, 2.0.1",,,,,saas,active,,https://cloudcharge.tech/about/
